Tag,N_district,N_neighbourhood,Distance_Center,POI_Daily_Food,POI_Daily_Others,POI_House_Equipment,POI_Clothing,POI_Culture,POI_Vehicles,POI_State_Agents,POI_Education,POI_Finances,POI_Restaurants_Hotels,POI_Health,POI_Souvenirs_Thrift_Store,POI_Car_Parks,POI_Esthetics,POI_Sports,POI_Religion,POI_Administration,Airbnb_Number,Airbnb_Price,Airbnb_Price_Person,Airbnb_Location_Score,Percentage_Gender_Female,Percentage_Age_0_14,Percentage_Age_15_24,Percentage_Age_25_39,Percentage_Age_40_64,Percentage_Age_65_Plus,Household,Education_None,Education_Primary_School,Education_Middle_School,Education_High_School,Education_University,Nationality_Spain,Nationality_Italy,Nationality_France,Nationality_UK,Nationality_Romania,Nationality_Germany,Nationality_Russia,Nationality_Ucrany,Nationality_Portugal,Nationality_Netherlands,Nationality_Poland,Nationality_Bulgaria,Nationality_Sweden,Nationality_Belgium,Nationality_Ireland,Nationality_Greece,Nationality_Morocco,Nationality_Argelia,Nationality_Senegal,Nationality_Bolivia,Nationality_Colombia,Nationality_Peru,Nationality_Ecuador,Nationality_Honduras,Nationality_Brazil,Nationality_Venezuela,Nationality_Argentina,Nationality_Dominican_Republic,Nationality_USA,Nationality_Mexico,Nationality_Paraguay,Nationality_Chile,Nationality_Cuba,Nationality_Uruguay,Nationality_Salvador,Nationality_China,Nationality_Pakistan,Nationality_Philippines,Nationality_India,Nationality_Bangladesh,Nationality_Georgia,Nationality_Armenia,Nationality_Japan,Nationality_Nepal,Nationality_Oceania,Rent_Number_Flats,Rent_Price_Meter_Flats,Rent_Price_Total_Flats,Rent_Area_Flats
01_01,01,01,0.891971794143177,484,81,84,191,133,1,10,52,36,540,14,86,13,136,7,25,18,1386,80.55483405483406,27.931806195848413,9.43125533731853,0.4577168340766057,0.12874588421622973,0.10190472221064477,0.3285124828074855,0.32176051348309925,0.11907639728254074,2.81,0.0217569588499204,0.3065994500458295,0.2332963481113416,0.18093009793043563,0.24222104298326017,0.5036468970116283,0.03346809486100113,0.015983828616679865,0.009502771641728837,0.006251823448505814,0.00775226107614721,0.00404284583003376,0.0026049264368774227,0.004459634059934148,0.003292627016213062,0.0025424082023923645,0.0018755470345517443,0.003459342308173217,0.002042262326511899,0.0010211311632559495,0.0014795982161463761,0.02792481140332597,0.0036052181886383526,0.0010628099862459884,0.006460217563456008,0.006105947568040678,0.002792481140332597,0.005397407577210019,0.002292335264452132,0.00506397699328971,0.003667736423123411,0.005939232276080524,0.0042512399449839535,0.0046055099403992834,0.0037927728920935273,0.002146459383986996,0.003667736423123411,0.0015004376276413953,0.0007710582253157171,0.0008335764598007752,0.006835326970366357,0.09982078106114284,0.08458717125828366,0.021693827366315175,0.0592464468803401,0.0012920435126912017,0.0009169341057808527,0.0008335764598007752,0.003063393489767849,0.0006877005793356395,2003,13.915647800692472,748.5794857713432,59.21822149481724
01_02,01,02,0.8788334330395722,106,74,46,443,54,1,3,17,30,513,4,169,7,73,2,13,32,1093,91.67154620311071,30.38095772784702,9.818994413407822,0.4802955665024631,0.08405172413793104,0.09538177339901478,0.36637931034482757,0.3171182266009852,0.13706896551724138,2.48,0.01973506353068397,0.17153284671532848,0.18160313598269803,0.23121113814544472,0.38753717220870504,0.5373152709359605,0.06841133004926109,0.034852216748768476,0.021736453201970443,0.009051724137931035,0.017549261083743842,0.00769704433497537,0.0038177339901477834,0.007327586206896552,0.00855911330049261,0.0047413793103448275,0.002586206896551724,0.009482758620689655,0.004495073891625616,0.004064039408866995,0.002586206896551724,0.020935960591133004,0.0032019704433497538,0.002586206896551724,0.005049261083743843,0.009544334975369459,0.004310344827586207,0.002955665024630542,0.004125615763546798,0.008435960591133005,0.006342364532019705,0.011761083743842365,0.0022167487684729066,0.01163793103448276,0.008189655172413794,0.0021551724137931034,0.007266009852216749,0.0020320197044334976,0.001354679802955665,0.0011083743842364533,0.008620689655172414,0.04415024630541872,0.016133004926108373,0.010467980295566502,0.006157635467980296,0.0017857142857142857,0.0005541871921182266,0.0024630541871921183,0.0008620689655172414,0.0020935960591133003,808,14.191884811686215,973.2701608910888,77.62824207492795
01_03,01,03,1.9721268307484152,101,20,8,25,17,0,10,17,7,200,14,11,4,34,3,3,6,283,84.75265017667844,34.06593050647822,9.699530516431924,0.5026157208131912,0.08423283226276405,0.08575591020462221,0.3301768094828157,0.31567445864512284,0.18415998940467518,2.19,0.04051203723907193,0.2260528038402793,0.24139937449996363,0.20794239581060442,0.2736926321914321,0.652605787696179,0.06264485795642673,0.018674259982782597,0.014502350837692869,0.005761207867028674,0.013177935236077081,0.008078935169856302,0.007085623468644461,0.006886961128402092,0.005959870207271041,0.005893649427190253,0.004304350705251308,0.007218065028806039,0.002648831203231574,0.002450168862989206,0.0015892987219389444,0.021389311966094962,0.0035097013442818357,0.001125753261373419,0.004569233825574465,0.007284285808886829,0.0036421429044434144,0.004039467584928151,0.0012581948215349976,0.0111913118336534,0.006886961128402092,0.007946493609694722,0.0012581948215349976,0.006688298788159725,0.00615853254751341,0.0023177273028276275,0.005231441626382359,0.0030461558837163102,0.0019204026223428913,0.0007284285808886829,0.004304350705251308,0.027349182173366002,0.0011919740414542083,0.00503277928613999,0.0009933117012118403,0.0005959870207271041,0.0005297662406463148,0.0007284285808886829,0.0013906363816965765,0.0021190649625852593,857,19.844592488708642,745.8147141190196,40.10411311053985
01_04,01,04,1.1167944239842045,210,56,52,284,22,1,17,39,17,394,12,81,7,96,5,10,20,1028,86.44066147859922,31.27684245877339,9.855072463768115,0.5013305413776556,0.09763120010469833,0.09082580814029577,0.3532696418444357,0.31588361034768575,0.14238973956288445,2.26,0.02096609427445639,0.17818747871771173,0.17079340370676654,0.22104392664299266,0.39752882229897357,0.5837804824848406,0.06460759935436025,0.03228198752344807,0.02504035248440431,0.007590629498756708,0.01662086114382934,0.007677878113684945,0.0029664529075600927,0.0077651267286131835,0.008942983030144397,0.0038825633643065917,0.0016577236836365222,0.0053221655106225185,0.0034899445971295208,0.0036208175195218775,0.0027919556777036164,0.02896654015617502,0.004449679361340139,0.0030973258299524494,0.004231557824019544,0.009466474719713824,0.004231557824019544,0.004100684901627186,0.0013959778388518082,0.00876848580028792,0.00571478427779959,0.010382585176460324,0.006543646119617851,0.01099332548095799,0.008463115648039088,0.0016140993761724033,0.005147668280766043,0.0010033590716747372,0.002137591065741831,0.001177856301531213,0.016489988221436984,0.017057104218470533,0.012171181782489203,0.005976530122584304,0.0019630938358853552,0.0020067181433494744,0.00034899445971295204,0.0030100772150242114,0.00026174584478471405,0.002050342450813593,1309,15.713611120621234,916.6526967150497,66.13725490196079
02_05,02,05,1.4991557002844402,136,53,72,58,34,18,14,29,16,209,23,13,11,71,17,5,5,578,102.21453287197232,29.810930548690056,9.418803418803419,0.5292685971043435,0.11579505741387919,0.08702571143285072,0.24978157763354966,0.33530953569645533,0.21208811782326512,2.5,0.017316786971517974,0.13234718913344948,0.18358638836539487,0.27148597233581057,0.3816449169718736,0.7807975536694958,0.03107838242636046,0.016506490264603095,0.005991013479780329,0.004212431352970544,0.0066150773839241134,0.004524463305042436,0.002683474787818273,0.004087618572141787,0.0026210683974038943,0.0020906140788816774,0.0014977533699450823,0.0014041437843235148,0.0013417373939091364,0.0011233150274588119,0.0008112830753869196,0.005086120818771842,0.0007800798801797304,0.0009672990514228657,0.00399400898652022,0.0060222166749875185,0.005210933599600599,0.0037443834248627058,0.0029955067398901645,0.006240639041437843,0.0060222166749875185,0.00558537194208687,0.0018097853220169745,0.0031203195207189214,0.00517973040439341,0.0012481278082875687,0.002870693959061408,0.0017161757363954068,0.0013417373939091364,0.0005616575137294059,0.03987768347478782,0.00399400898652022,0.0012169246130803795,0.0018721917124313529,0.0010921118322516226,0.000998502246630055,0.0003120319520718922,0.0007800798801797304,0.000717673489765352,0.00028082875686470297,1054,13.11479627587323,900.4181973434534,74.00411946446962
02_06,02,06,2.1203823826649875,306,88,90,138,70,20,43,43,52,393,58,70,23,181,13,5,1,1015,87.48866995073891,26.2205574201387,9.560827250608272,0.542370912470233,0.10479951985440747,0.08416100365917407,0.24268649203306808,0.3444076590966293,0.22394532535672107,2.36,0.021905757338210957,0.14591498998345093,0.19360247365212088,0.26504659872833375,0.3610530441599164,0.8074771059611624,0.02311668699541151,0.009002729860022072,0.00449168457532284,0.004007666840913051,0.0038140597471491354,0.004259356062806141,0.00249753150955451,0.004375520319064491,0.0018392673907571973,0.0023039244157905944,0.0007550676656792705,0.0013939710751001916,0.0006776248281737042,0.0008518712125612282,0.0007357069563028789,0.005556523591024375,0.0006389034094209212,0.0006776248281737042,0.006698805444231477,0.00836382645060115,0.007608758784921879,0.005401637916013243,0.0031751563377282145,0.005517802172271592,0.007279626725523223,0.005014423728485411,0.0028266635689531664,0.002671777893942034,0.005091866565990978,0.003755977619019961,0.0030396313720934733,0.0016650210063696735,0.0011810032719598846,0.0006001819906681381,0.02234225862035585,0.003271959884610172,0.0017811852626280226,0.002536252928307293,0.0006582641187973127,0.0014326924938529747,0.0014326924938529747,0.001335888946971017,0.002032874484521113,0.00025168922189309015,1756,13.347805005141533,876.2485022779041,68.92757996378998
02_07,02,07,0.7799804077717425,366,162,195,549,140,18,64,97,110,921,105,33,50,200,22,17,36,1733,148.40565493364107,34.992670756505156,9.745836350470674,0.5365908782714822,0.12150250870135154,0.08902499660986304,0.23816842200424898,0.33908149889255523,0.2122225737919812,2.39,0.011101888358580619,0.08233035899564226,0.1295652625025939,0.25871550114131564,0.5037352147748495,0.7847941056818696,0.03200289291687384,0.023143334990733625,0.010328617276137956,0.002282692220765719,0.011006644668444605,0.0054920218776838585,0.0020792840030737243,0.00427157257153189,0.004520182615377661,0.002282692220765719,0.0008588346969217556,0.002576504090765267,0.0023278940469194957,0.0019436785246123944,0.0011526465669213035,0.002418297699227049,0.0009492383492293089,0.000293811869999548,0.003028522352303033,0.006599466618451386,0.004181168919224336,0.002508701351534602,0.0017176693938435112,0.0063282556615287255,0.004994801789992316,0.004881797224607874,0.0012882520453826336,0.00829453509921801,0.006147448356913619,0.0015368620892284048,0.002870315960764815,0.0012882520453826336,0.0009492383492293089,0.000587623739999096,0.015526827283822266,0.0012656511323057452,0.0015594630023052932,0.0012882520453826336,0.0006328255661528726,0.000587623739999096,0.0004294173484608778,0.0020340821769199474,0.000587623739999096,0.001107444740767527,1871,13.5422802573059,1195.2261892036352,98.05124919923126
02_08,02,08,1.2676793700282638,313,91,130,215,81,14,53,45,60,731,99,21,55,217,13,11,7,998,108.51803607214428,31.37961750729789,9.603821656050956,0.5351900639819345,0.10940440346255174,0.08583458788106887,0.2574567181031238,0.33244730899510727,0.21485698155814828,2.33,0.013628257339828049,0.0937741222816684,0.14594479491069764,0.26897175863078604,0.4655700178338524,0.7910237109522017,0.02752164094843809,0.014772299585999247,0.008397628904779826,0.0032931878057960106,0.008397628904779826,0.004257621377493414,0.0021640948438088068,0.004069439217162213,0.0029873917952578095,0.002234663153933007,0.0009879563417388032,0.0019759126834776063,0.0013407978923598042,0.0011996612721114038,0.0011290929619872036,0.002893300715092209,0.0004234098607452014,0.0002822732404968009,0.003787165976665412,0.008232969514490027,0.005339668799397817,0.002822732404968009,0.0019288671433948061,0.007856605193827625,0.007080353782461423,0.005763078660143019,0.0018112532931878057,0.00628057960105382,0.005951260820474219,0.002234663153933007,0.0040223936770794125,0.0017406849830636055,0.0008468197214904028,0.000940910801656003,0.01583082423786225,0.0031050056454648097,0.007786036883703425,0.0020700037636432068,0.0003763643206624012,0.0007762514113662024,0.0002117049303726007,0.0023287542340986074,0.0006821603312006022,0.0005645464809936018,1928,13.732518537185904,1060.0282417012447,83.9395184967704
02_09,02,09,1.8127258033457097,228,81,107,113,64,32,35,68,41,443,90,26,29,223,23,10,9,799,76.55193992490614,27.17800127143056,9.344135802469136,0.5360027437194547,0.10626768412929778,0.08354625739518134,0.24412243848066537,0.33605418845923,0.23000943153562547,2.37,0.014809659145834542,0.12058465286236297,0.16855170813757903,0.27032461380817047,0.41310442163060923,0.8193603704021264,0.022104089856812142,0.008882791734545143,0.004029837949069708,0.004218468661579353,0.004355654634313641,0.0038412072365600616,0.0019377518648718169,0.003909800222927206,0.001749121152362171,0.0013890079739346652,0.0005144473977535797,0.0009945983023235874,0.0009774500557318015,0.0007545228500385836,0.0008059675898139415,0.0038240589899682757,0.0004801509045700077,0.0003086684386521478,0.003909800222927206,0.007390894281059762,0.007202263568550115,0.004801509045700077,0.002315013289891109,0.007733859212895482,0.005898996827574381,0.005110177484352225,0.0020406413444225328,0.0030180914001543342,0.0042013204149875675,0.0025893852353596845,0.00329246334562291,0.001783417645545743,0.0008402640829975136,0.0005487438909371517,0.021572494212466774,0.00329246334562291,0.005676069621881163,0.001543342193260739,0.0009431535625482294,0.0008402640829975136,0.0007202263568550116,0.0019377518648718169,6.859298636714396e-05,0.00027437194546857586,2064,13.549460119840361,943.2298594961243,73.83934088568486
02_10,02,10,1.3000132016969765,282,97,95,209,103,6,36,44,33,417,47,31,30,136,16,6,7,967,86.99276111685626,26.805875437041422,9.54656862745098,0.5261897323752994,0.10389982297198792,0.08158908674372592,0.2507810059356451,0.3383578048526502,0.22537227949599084,2.34,0.02296530337604587,0.15821192440465742,0.19568778889473992,0.25656778421391374,0.3526124861037973,0.7864729771946267,0.027855878371342287,0.01215765906487556,0.007055086951994169,0.003150057273768614,0.006560449859418931,0.002993856086639592,0.0017442465896074144,0.004009163802978236,0.0018744142455482662,0.002004581901489118,0.001145475372279496,0.001509944808913881,0.0011715089034676663,0.0014318442153493699,0.0007549724044569405,0.004738102676247006,0.0004946370925752369,0.0003905029678225555,0.004868270332187858,0.0057273768613974796,0.004451733833177133,0.003514526710402999,0.0018483807143600958,0.005362907424763095,0.004894303863376029,0.004451733833177133,0.0036707278975320213,0.0036967614287201915,0.004113297927730917,0.001718213058419244,0.002785587837134229,0.001353743621784859,0.0009632406539623034,0.0005987712173279184,0.020410288451525566,0.012548162032698115,0.016843694678746225,0.004061230865354577,0.005076538581693221,0.0007549724044569405,0.0006248047485160887,0.0014318442153493699,0.0016661459960429033,0.00044257003019889616,1351,13.01762326641725,900.4813693560321,74.395552025417
03_11,03,11,2.599628316592068,145,38,30,17,17,3,14,33,18,296,18,16,9,78,17,10,11,979,82.79673135852912,26.082278442531244,9.359903381642512,0.507037018682789,0.11747361117993954,0.08486545418504386,0.2813320779027702,0.3457059319094108,0.17062292482283561,2.52,0.02868295994568907,0.2442011767368183,0.23373500792034396,0.22448517764200046,0.2537904503281285,0.6932206749591159,0.03208781406412607,0.014817384409534664,0.00872193864909064,0.004608751672530849,0.006591010456415085,0.0033202834630060955,0.0019079240794885773,0.003394618167401754,0.0015858070271073889,0.0028494970018335896,0.001437137618316071,0.002031815253481342,0.0014123593835175183,0.0013132464443233063,0.0014866940879131772,0.017666881411368254,0.0028247187670350365,0.0007433470439565886,0.005649437534070073,0.007309579265573121,0.0037662916893800484,0.005475989890480202,0.003939739332969919,0.005921998116854155,0.0038654046285742606,0.004757421081322166,0.011125427424550275,0.002998166410624907,0.0028247187670350365,0.00235393230586253,0.003518509341394519,0.0013380246791218594,0.0008176817483522474,0.0016601417315030478,0.010877645076564746,0.044377818524208336,0.02804896179196194,0.019946479012835125,0.005773328708062838,0.0017592546706972595,0.000495564695971059,0.0006194558699638237,0.003914961098171367,0.00044600822637395313,1211,13.692917004798652,749.5214781172582,58.367166813768755
03_12,03,12,5.826425050325786,3,3,2,0,2,12,0,2,1,12,0,1,0,0,2,1,5,7,132.85714285714286,26.619047619047617,8.333333333333334,0.48045178105994785,0.12945264986967853,0.09035621198957429,0.23457862728062553,0.36055603822762816,0.18505647263249347,2.57,0.05740181268882175,0.4229607250755287,0.3252769385699899,0.11883182275931521,0.05337361530715005,0.9165942658557776,0.004344048653344918,0.0008688097306689834,0.0,0.0017376194613379669,0.0,0.0034752389226759338,0.0008688097306689834,0.0,0.0,0.0,0.0,0.0,0.0008688097306689834,0.0,0.0,0.005212858384013901,0.0008688097306689834,0.0,0.0026064291920069507,0.005212858384013901,0.0034752389226759338,0.0017376194613379669,0.004344048653344918,0.0,0.005212858384013901,0.0008688097306689834,0.0026064291920069507,0.0,0.0008688097306689834,0.010425716768027803,0.0,0.0008688097306689834,0.0026064291920069507,0.0,0.018245004344048653,0.0008688097306689834,0.0,0.0,0.0,0.0034752389226759338,0.0,0.0,0.0,0.0,4,,,93.33333333333333
03_13,03,13,3.9211284844723964,101,34,15,20,11,4,7,18,14,98,24,6,7,37,5,7,7,103,70.71844660194175,35.95159500693482,8.69047619047619,0.5191039122199725,0.13669910521847037,0.1043367513552348,0.19136568480177651,0.3704852720266475,0.1971131865978708,2.58,0.03735027362136926,0.288354827599403,0.27622364241705255,0.23133443037005855,0.14369905476254258,0.8596760498987656,0.0058781268369146366,0.0018614068316896348,0.0007837502449219516,0.0057475017960943115,0.0007837502449219516,0.0026451570766115864,0.00248187577558618,0.0017307817908693097,0.0004571876428711384,0.0015021879694337404,0.002906407158252237,0.0002612500816406505,9.796878061524395e-05,0.00013062504082032525,0.00013062504082032525,0.010613284566651428,0.0015348442296388217,0.0005878126836914636,0.0024492195153810984,0.005682189275684149,0.007445627326758539,0.007445627326758539,0.007119064724707727,0.002383906994970936,0.0016981255306642283,0.0023512507347658545,0.003820782443994514,0.0004571876428711384,0.0007184377245117889,0.0014695317092286591,0.001142969107177846,0.0013389066684083338,0.0006531252041016263,0.0006531252041016263,0.01763438051074391,0.008882502775782118,0.012311410097315656,0.0038860949644046764,0.0010776565867676835,0.0013715629286134151,0.00042453138266605706,0.0002612500816406505,0.0003918751224609758,0.0,402,10.36207564431409,691.4249253731344,69.98441558441559
03_14,03,14,2.8408867006429825,29,10,3,0,2,1,1,11,1,34,4,3,0,15,0,4,1,150,70.98666666666666,28.293611111111108,9.194915254237289,0.5290731145653426,0.10573786221454615,0.08539627710612166,0.23968528113605833,0.3452312416042986,0.22394933793897526,2.43,0.031310732023321096,0.18656877564240984,0.2177715396242712,0.25091772835240767,0.2965882098898726,0.8060832853578968,0.021684897332565727,0.008635578583765112,0.004029936672423719,0.005853003262329687,0.003742084052964882,0.006428708501247361,0.0033582805603530994,0.0036461331798119364,0.001535213970447131,0.0032623296872001536,0.001247361350988294,0.0009595087315294569,0.0010554596046824026,0.0005757052389176742,0.0009595087315294569,0.007196315486470927,0.0005757052389176742,0.0013433122241412398,0.004029936672423719,0.008731529456918057,0.00556515064287085,0.004317789291882556,0.0011514104778353484,0.007484168105929764,0.0038380349261178275,0.003933985799270774,0.002302820955670697,0.0019190174630589138,0.0017271157167530224,0.0029744770677413166,0.0032623296872001536,0.0020149683362118594,0.0017271157167530224,0.0008635578583765112,0.016311648436000768,0.013433122241412397,0.002110919209364805,0.006044905008635579,0.00019190174630589137,0.0029744770677413166,0.0017271157167530224,0.00047975436576472844,0.001535213970447131,9.595087315294569e-05,277,13.034586853868364,811.0759566787003,66.13533834586467
03_15,03,15,2.5151820355727197,135,34,33,65,20,3,12,20,15,159,25,9,6,60,5,5,4,227,83.5330396475771,25.942909586742186,9.409090909090908,0.521913599598721,0.11254624114364536,0.08245031036428616,0.26904508119631326,0.34378330929838863,0.19217505799736662,2.41,0.02553161226086338,0.2022615745679539,0.22075243581537587,0.24031007751937986,0.2977739847805988,0.7789203084832905,0.021004451689761113,0.010470875916985391,0.004639789328484544,0.0059564863000815095,0.004263590193742554,0.00520408803059753,0.0016928961063389554,0.002382594520032604,0.0015047965389679604,0.0022571948084519405,0.002131795096871277,0.0012539971158066336,0.0008150981252743119,0.0005642987021129851,0.00043889899053232176,0.012477271302276004,0.0012539971158066336,0.0005642987021129851,0.008025581541162456,0.00746128283904947,0.007398582983259138,0.007774782118001129,0.0034484920684682424,0.00558028716533952,0.0038873910590005644,0.0032603925010972474,0.004639789328484544,0.003009593077935921,0.0024452943758229355,0.0028841933663552575,0.0026960937989842625,0.001003197692645307,0.0009404978368549753,0.0006269985579033168,0.018120258323405858,0.018433757602357513,0.006395385290613832,0.0100946767822434,0.0012539971158066336,0.003323092356887579,0.001003197692645307,0.0008777979810646435,0.002821493510564926,0.0005015988463226535,566,12.91395537399208,747.0873144876325,62.177024482109225
03_16,03,16,3.442233127151032,54,19,11,9,5,3,5,27,13,62,11,6,2,40,5,10,1,130,58.38461538461539,25.226245421245423,8.93,0.5286891870050106,0.11626528743063412,0.08426270136307311,0.21146489952049996,0.36404288562038684,0.22396422606540595,2.46,0.032234251968503935,0.2124138779527559,0.2500615157480315,0.2618110236220472,0.22920767716535434,0.8685415656484026,0.010398146651581272,0.004848876676903184,0.0017779214481978341,0.004363989009212865,0.0022628091158881525,0.0019395506707612737,0.0022628091158881525,0.0008081461128171974,0.0005387640752114649,0.0010236517429017833,0.0008620225203383439,0.00026938203760573247,0.00043101126016917193,0.00021550563008458596,0.00043101126016917193,0.009266742093637197,0.0005926404827326114,0.0007542697052960508,0.007003932977749044,0.005872528419804968,0.004795000269382037,0.004256236194170573,0.002855449598620764,0.0035558428963956682,0.0026938203760573246,0.002208932708367006,0.0035558428963956682,0.0008620225203383439,0.0010236517429017833,0.003501966488874522,0.0010236517429017833,0.0015624158181132483,0.0009697753353806369,0.00043101126016917193,0.013738483917892355,0.007273315015354776,0.002747696783578471,0.007273315015354776,0.00043101126016917193,0.0018856742632401271,0.0003232584451268789,0.00043101126016917193,5.387640752114649e-05,5.387640752114649e-05,420,11.9362383243163,789.9802619047618,69.1376811594203
03_17,03,17,3.7895893639258644,80,31,36,44,14,2,15,11,20,109,23,13,4,68,5,6,1,169,60.23668639053255,23.506526486334185,8.953488372093023,0.5327899530086914,0.10808000998045494,0.08641410570965193,0.23225350355553706,0.3491079968395226,0.22414438391483346,2.42,0.03491869536610584,0.2229062881849798,0.23658238556255287,0.24433687376633142,0.24814362252091363,0.8287104420509835,0.008982409448164011,0.005239738844762341,0.0019545057595542065,0.007568511664656714,0.0019129205306275211,0.0026198694223811703,0.0025782841934544848,0.0022040171331143177,0.001039630723167131,0.0012475568678005573,0.0005821932049735934,0.00033268183141348193,0.0007485341206803344,0.00045743751819353766,0.00045743751819353766,0.007069488917536491,0.0015386534702873538,0.00016634091570674097,0.013307273256539277,0.008275460556410362,0.00864972761675053,0.008774483303530586,0.0051981536158356555,0.0034099887719881896,0.004116937663741839,0.0032436478562814486,0.008524971929970475,0.0009564602653137606,0.0019129205306275211,0.0051565683869089695,0.0015802386992140392,0.0013307273256539277,0.0008732898074603901,0.0021208466752609474,0.013182517569759222,0.011519108412691811,0.003617914916621616,0.0037010853744749864,0.0007069488917536491,0.0032020626273547635,0.0005821932049735934,0.00033268183141348193,0.0011643864099471868,8.317045785337048e-05,651,13.14803988429266,759.1847004608296,60.85736925515055
