Tag,Distance_Center,Education_University,Nationality_Spain,Nationality_Italy,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_65_Plus,Percentage_Age_0_14,POI_Daily_Others,POI_Clothing,Intercept
01_001,,,,,,0.2902849246959908,,,,,
01_002,,,,,,0.2779184919230287,,,,,
01_003,,,,,,0.26593051676063223,,,,,
01_004,,,,,,0.2542221015555709,,,,,
01_005,,,,,,0.27296318696616845,,,,,
01_006,,,,,,0.27001786837446173,,,,,
01_007,,,,,,0.2581053052593426,,,,,
01_008,,,,,,0.250396123176601,,,,,
01_009,,,,,,0.24409813598773517,,,,,
01_010,,,,,,0.24779057470430293,,,,,
01_011,,,,,,0.24350033692851364,,,,,
01_012,,,,,,0.24157947868464735,,,,,
01_013,,,,,,0.24523567992683212,,,,,
01_014,,,,,,0.2476019257814674,,,,,
01_015,,,,,,0.2425455432828885,,,,,
01_016,,,,,,0.24483658035103475,,,,,
01_017,,,,,,0.24645635949335742,,,,,
01_018,,,,,,0.25328447347574184,,,,,
01_019,,,,,,0.2649414019555679,,,,,
01_020,,,,,,0.26759938108384806,,,,,
01_021,,,,,,0.26321052393077427,,,,,
01_022,,,,,,0.2970122173274841,,,,,
01_023,,,,,,0.31795371827070434,,,,,
01_025,,,,,,0.31794147518135946,,,,,
01_026,,,,,,0.3294636182673636,,,,,
01_027,,,,,,0.31576015418328346,,,,,
01_028,,,,,,0.2927542981007244,,,,,
01_029,,,,,,0.2967886604891763,,,,,
01_030,,,,,,0.3148368014324652,,,,,
01_031,,,,,,0.3200453963998591,,,,,
01_032,,,,,,0.32942108846814605,,,,,
01_033,,,,,,0.3472636589220492,,,,,0.48330759488607067
01_034,,,,,,0.3489578545782282,,,,,0.46615221051282124
01_035,,,,,,0.350625267615402,,,,,0.45593132997939734
01_036,,,-0.29731540451403166,,,0.34158332516762685,,,,,0.3913479120473959
01_037,,,,,,0.3537170622341444,,,,,0.45939691699767093
01_038,,,,,,0.35124122062433427,,,,,0.4645746890793473
01_039,,,,,,0.35035467498746553,,,,,0.47199924298404955
01_040,,,,,,0.35172142713303434,,,,,0.4862772774790005
01_041,,,,,,0.3532143085045054,,,,,0.47101577244180093
01_042,,,,,,0.35627040265028126,,,,,0.4633598586658983
01_043,,,,,,0.35111222790595464,,,,,0.43741323023620315
01_044,,,,,,0.3532307439541421,,,,,0.49405664618689776
01_045,,,,,,0.3482908948941101,,,,,0.5141690426686587
01_046,,,,,,0.34049397923385993,,,,,0.5128941568130283
01_047,,,,,,0.33727932161380625,,,,,0.5006818803194115
01_048,,,,,,0.34609479386018593,,,,,0.5123394913467442
01_049,,,,,,0.33716373415211526,,,,,0.4966956714562769
01_050,,,,,,0.3345354560457972,,,,,0.4875826839212182
01_051,,,,,,0.34123062530308806,,,,,0.5086398097327115
01_052,,,,,,0.33643595684318056,,,,,0.5044127161807473
01_053,,,,,,0.3460049740207254,,,,,0.5074306827867318
01_054,,,,,,0.34950425339781327,,,,,0.504373307339011
01_055,,,,,,0.3408870652577534,,,,,0.4619233071876013
02_001,,,,,,0.3210458873219111,,,,,0.3842218515730003
02_002,,,,,,0.32051432427964477,,,,,0.4036950336499031
02_003,,,-0.2938452509624743,,,0.3126527642238734,,,,,0.34163800712821096
02_004,,,,,,0.31029316554635866,,,,,0.35162248475130403
02_005,,,,,,0.31711075741061767,,,,,0.40435593119598434
02_006,,,,,,0.3268394991829544,,,,,0.457901489729561
02_007,,,,,,0.3103190035176586,,,,,0.4166124297928242
02_008,,,,,,0.3030589341558906,,,,,0.3502656648044583
02_009,,,,,,0.3020283405171866,,,,,0.31150436652716323
02_010,,,-0.2968447760672324,,,0.29309714096329775,,,,,0.27291595720639356
02_011,,0.2863392533795235,-0.31340324430881084,,,0.30467689502700757,,,,,0.28993629766814205
02_012,,0.2859057431186761,-0.32114442624848893,,,0.3069903171289503,,,,,0.29576479589297056
02_013,,0.3234481143854276,-0.32865520917817914,,,0.295902151631954,,,,,0.23713937263743387
02_014,,0.3363330881862543,-0.30833517255580306,,,0.27330301873399304,,,,,0.20150829450367297
02_015,,,-0.2877639693754849,,,0.2724522133945372,,,,,0.2254066439647432
02_016,,,,,,0.2829191229451738,,,,,0.27888205478222805
02_017,,,,,,0.2852235790024932,,,,,0.3282026706935697
02_018,,,,,,0.25251303575200956,,,,,0.25250762935088716
02_019,,,,,,0.2667726287882759,,,,,0.2655502149032151
02_020,,,,,,0.2657399511184799,,,,,0.2420265679024874
02_021,,,-0.27511672586196984,,,0.25458685935017283,,,,,0.19142500370158932
02_022,,0.3568957539511767,-0.29784987385264317,,,0.25265961452752855,,,,,0.16534090614886787
02_023,,0.3509552087425803,-0.27804496053157246,,,0.24257868500381005,,,,,
02_024,,,,,,0.24848097093678043,,,,,0.19825924973091952
02_025,,,,,,0.22843957810178728,,,,,
02_026,,,,,,0.22539710700205517,,,,,
02_027,,,,,,0.20722437114662604,,-0.18278156164298093,,,
02_028,,,,,,0.21482147930946544,,,,,
02_029,,,-0.25669208169830504,,,0.2268974597333484,,,,,
02_030,,0.3849893693769134,-0.26782202442875114,,,0.22582036220874377,,,,,
02_031,,0.38551822975984235,,,,0.2134049863137205,,,,,
02_032,,,,,,0.20476100155385168,,,,,
02_033,-0.3881571835688482,,,,,0.19602984817132796,,,,,
02_034,-0.3886506751889454,,,,,0.19653782098039763,,-0.19192225031667448,,,
02_035,-0.39284556591832875,,,,,0.19719997181914511,,-0.21473470124781371,,,
02_036,-0.3998612191635683,,,,,0.1877932510695295,,-0.21550123207589633,,,
02_037,-0.4090537396378934,,,,,0.18728852295729978,,-0.18271407786561036,,,
02_038,-0.43026868108383,,,,,0.1903556163621446,,,,,
02_039,,,,,,,,-0.20649927675934504,,,
02_040,,,,,,,,-0.1921541016710496,,,
02_041,,,,,,,,-0.23149256363061377,,,
02_042,-0.40196376362212155,,,,,,,-0.2519134348958326,,,
02_043,-0.43519593740799895,,,,,,,-0.2565007293034751,,,
02_044,-0.42596747025707,,,,,,,-0.25682661709253457,,,
02_045,-0.40510209953348164,,,,,,,-0.2501216265571027,,,
02_046,,,,,,,,-0.238922784925873,,,
02_047,-0.3975737315287712,,,,,,,-0.2396777040663382,,,
02_048,-0.41351394916153766,,,,,,,-0.2508839203359718,,,
02_049,-0.3869183653318381,,,,,0.20160427178254148,,-0.2275393096217083,,,
02_050,,,,,,0.22932716495585054,,-0.16939242353856876,,,
02_051,,,,,,0.2315664475842863,,-0.17780944562820097,,,
02_052,,,,,,0.22141161843934706,,-0.2011205319814725,,,
02_053,-0.3317997026386277,,,,,0.21668817656172928,,-0.21248349875282516,,,
02_054,-0.40863277612270804,,,,,,,-0.24830156348338198,,,
02_055,-0.4103765121781187,,,,,,,-0.24571939011103003,,,
02_056,-0.3345870112395231,,,,,0.21201678451471662,,-0.21533956476044838,,,
02_057,-0.3626757192025149,,,,,,,-0.2150991807649642,,,
02_058,-0.4102857547157798,,,,,,,-0.2125075564647081,,,
02_059,-0.3541504473429925,,,,,,,,,,
02_060,-0.34882723165692897,,,,,,,-0.1853665717071115,,,
02_061,,,,,,0.23458041709242505,,-0.1664966882853109,,,
02_062,,,,,,0.22259865342522062,,-0.17334994744834958,,,
02_063,,,,,,0.20926218884851336,,,,,
02_064,,,,,,0.23426979871997927,,,,,
02_065,,,,,,0.2527965593082531,,,,,
02_066,,,,,,0.2568213578831776,,,,,0.300876246614692
02_067,,,,,,0.2757636354548141,,,,,0.3451025978761654
02_068,,,,,,0.2932800898633853,,,,,0.3809396784003293
02_069,,,,,,0.2777186904378069,,,,,0.3870351027398472
02_070,,,,,,0.2736611153444485,,,,,0.38830724368342867
02_071,,,,,,0.28681845867640876,,,,,0.42918953075101635
02_072,,,,,,0.3014907332309105,,,,,0.4657738012876609
02_073,,,,,,0.32088682482872455,,,,,0.4806607097272397
02_074,,,,,,0.3348908415405385,,,,,0.49744669559095556
02_075,,,,,,0.33576670394698577,,,,,0.5073146715691194
02_076,,,,,,0.32456967576439927,,,,,0.5015266266418497
02_077,,,,,,0.29894173198964846,,,,,
02_078,,,,,,0.2801275085264663,,,,,
02_079,,,,,,0.26290724239948937,,,,,
02_080,,,,,,0.23894510419124998,,,,,
02_081,,,,,,0.2373155109731652,,,,,
02_082,,,,,,,,,,,
02_083,,,,,,0.22151336134719848,,,,,
02_084,,,,,,0.2512934226203811,,,,,
02_085,,,,,,0.252810450190738,,,,,
02_086,-0.38781210153065243,,,,,0.27748867581049536,,,,,
02_087,-0.3701111580645131,,,,,0.26574073783075686,,,,,
02_088,,,,,,0.2510360136431332,,,,,
02_089,,,,,,0.248839981439842,,,,,
02_090,,,,,,0.24877026509138775,,,,,
02_091,,,,,,0.25483793552428347,,,,,
02_092,,,,,,0.24695990009591762,,,,,
02_093,-0.35448610281247767,,,,,0.24587562732927404,,,,,
02_094,-0.35646400126811006,,,,,0.24186246887110183,,,,,
02_095,-0.35516990529990566,,,,,0.24300698300811366,,,,,
02_096,-0.35959270308344243,,,,,0.2472074871893585,,,,,
02_097,-0.3620575781593999,,,,,0.2568605751723495,,,,,
02_098,-0.3645419007104944,,,,,0.2549557826085055,,,,,
02_099,-0.3741261941114111,,,,,0.2640519917889896,,,,,
02_100,-0.3830950238040407,,,,,0.2745304297104401,,,,,
02_101,-0.39896520891217124,,,,,0.27951485239792306,,,,,
02_102,-0.40283650178618646,,,,,0.27832709278876505,,,,,
02_103,-0.4512282223366543,,,,,0.2986736840961437,,,,,
02_104,-0.5255057813029871,,,,,0.30621019678516587,,,,,
02_105,-0.45423686050155176,,,,,0.29401600090820035,,,,,
02_106,-0.44483676800070077,,,,,0.2872197411405172,,,,,
02_107,-0.5047207046596444,,,,,0.2931442361455026,,,,,
02_108,-0.5658916551795888,,,,,0.2982938999089727,,,,,
02_109,-0.6185709142864879,,,,,0.29652419527798457,,,,,
02_110,-0.6008991158887524,,,,,0.3030172774134234,,,,,
02_111,-0.6483183601264901,,,,,0.29027247761081254,,,,,
02_112,-0.61862421087285,,,,,0.2729143913122303,,,,,
02_113,-0.62309156416916,,,,,0.28364663295869114,,,,,
02_114,-0.5977863481259783,-0.287928124473999,,,,0.2814274186448015,,,,,
02_115,-0.53673848023583,-0.27248572844013874,,,,0.28533021817770093,,,,,
02_116,-0.5063356671707213,,,,,0.29835761270350625,,,,,
02_117,-0.4763070827078038,,,,,0.30426044687194337,,,,,
02_118,-0.4047278133948406,,,,,0.2878945974558618,,,,,
02_119,-0.445190957328763,,,,,0.2924479499047509,,,,,
02_120,-0.4691364854981124,,,,,0.28082113097923017,,,,,
02_121,-0.4094182131803641,,,,,0.27873214665105966,,,,,
02_122,-0.4965224419441793,-0.2802356261359449,,,,0.2630440461121257,,,,,
02_123,-0.5539331895008325,-0.2937193284902507,,,,0.26724212341351944,,,,,
02_124,-0.5775047332284038,-0.2967016662869579,,,,0.2546214855388701,,,,,
02_125,-0.5690403222273392,-0.2784177146877828,,,,0.2512820944570247,,,,,
02_126,-0.5280856334809235,-0.28275445338054744,,,,0.22563678091049047,,,,,
02_127,-0.5304820146920692,-0.29520816973723685,,,,0.2203486173014062,,,,,
02_128,-0.5049170869341081,-0.2902248949438283,,,,0.2443506010002532,,,,,
02_129,-0.519087431409318,-0.29768598272444663,,,,0.21333991485335663,,,,,
02_130,-0.4752749459249166,-0.2689370346858901,,,,0.1861938969584827,,,,,
02_131,-0.4468260095618743,-0.2619551811480883,,,,0.19258256059037265,,,,,
02_132,-0.45166805769400037,-0.2803068822925269,,,,0.20643191154382806,,,,,
02_133,-0.49444774396276814,-0.2897205303391407,,,,0.2024418529445204,,,,,
02_134,-0.4797522752191262,-0.2871962083435246,,,,0.22206914562431532,,,,,
02_135,-0.41183849959006785,-0.2649957620925613,,,,0.2337086436463021,,,,,
02_136,-0.4502741735673335,-0.27372580155796705,,,,0.2411316294822891,,,,,
02_137,-0.39201556479146604,,,,,0.2578347037965269,,,,,
02_138,-0.36982298949996567,,,,,0.27070500553412136,,,,,
02_139,-0.35973952030647727,,,,,0.26318862231940116,,,,,
02_140,-0.34631000830467257,,,,,0.2597666571820435,,,,,
02_141,-0.34848113570697575,,,,,0.2514059993290556,,,,,
02_142,-0.3275769117629007,,,,,0.2481633707469175,,,,,
02_143,-0.34169222185454856,,,,,0.24991490546783773,,,,,
02_144,-0.3354424853877608,,,,,0.24300409459489947,,,,,
02_145,-0.31720304746496003,,,,,0.24302258848984123,,,,,
02_146,-0.3128890351117206,,,,,0.23826395731700514,,,,,
02_147,-0.3420525193234212,,,,,0.24091146036519406,,,,,
02_148,-0.37247548357201177,-0.25436385128899963,,,,0.21937890008756888,,,,,
02_149,-0.3134818714829403,,,,,0.22811039926069485,,,,,
02_150,,,,,,0.23054962186236982,,,,,
02_151,-0.2971743869304623,,,,,0.2347241711422771,,,,,
02_152,-0.3041343982909087,,,,,0.23776474203210182,,,,,
02_153,-0.299751255679158,,,,,0.23759686408660022,,,,,
02_154,,,,,,0.2357012041899576,,,,,
02_155,,,,,,0.23661237183058875,,,,,
02_156,,,,,,0.23577194218246106,,,,,
02_157,,,,,,0.23584532710174452,,,,,
02_158,,,,,,0.23720922575282913,,,,,
02_159,-0.31147533158065854,,,,,0.23987925679857328,,,,,
02_160,-0.33111147211042535,,,,,0.2385857008278692,,,,,
02_161,,,,,,0.2357757034728234,,,,,
02_162,,,,,,0.2360027032601033,,,,,
02_163,-0.35461759097878287,,,,,0.23781946411469695,,,,,
02_164,,,,,,0.24409647636929105,,,,,
02_165,,,,,,0.23783442274431565,,,,,
02_166,,,,,,0.2374863332787474,,,,,
02_167,,,,,,0.23505893389134438,,,,,
02_168,,,,,,0.23676783289965464,,,,,
02_169,,,,,,0.24053590889661425,,,,,
02_170,,,,,,0.24412562987779615,,,,,
02_171,,,,,,0.23967440774708193,,,,,
02_172,,,,,,0.23866512322093705,,,,,
02_173,,,,,,0.23646978080620384,,,,,
03_001,,,,,,0.23612583278457674,,,,,
03_002,,,,,,0.23564897947350047,,,,,
03_003,,,,,,0.2358328796346904,,,,,
03_004,,,,,,0.23478800270907296,,,,,
03_005,,,,0.2859596434667243,,0.2358221896777033,,,,,
03_006,,,,,,0.23664131107959321,,,,,
03_007,,,,,,0.23659384798289707,,,,,
03_008,,,,,,0.23726788889945097,,,,,
03_009,,,,,,0.23724933050036057,,,,,
03_010,,,,,,0.23934693888622782,,,,,
03_011,,,,,,0.23924237680520213,,,,,
03_012,,,,,,0.2414558902311023,,,,,
03_013,,,,,,0.24236562340487952,,,,,
03_014,,,,,,0.24417490038594014,,,,,
03_015,,,,,,0.24521654665216072,,,,,
03_016,,,,,,0.25229472787103613,,,,,
03_017,,,,,,0.24802152463085184,,,,,
03_018,,,,,,0.25431709213088055,,,,,
03_019,,,,,,0.2614688013377374,,,,,
03_020,,,,,,0.2752338325256557,,,,,
03_021,,,,,,0.2659128406168881,,,,,
03_022,,,,,,0.2585438561985061,,,,,
03_023,,,,,,0.2444952525770374,,,,,
03_024,,,,0.29606764119566287,,0.2536578488482302,,,,,0.24375064612923134
03_025,,,,,0.24749568151905266,0.3088262097193272,,,,,0.3685772248737397
03_026,,,,,0.24216828555572872,0.2312935094503136,,,,,0.28206933226434056
03_027,,,,,0.2377815071099232,0.2184689090336529,,,,,0.26929694343614186
03_028,,,,,0.23328117819422353,0.20888053858254677,,,,,0.26206582299435227
03_029,,,,,0.2379402890878899,0.2272663460593292,,,,,0.28283364330105254
03_030,,,,,0.23796236517433772,0.24072300820789022,,,,,0.2986134667327972
03_031,,,,,0.23246122799823365,0.25149007803303985,,,,,0.3161625313747284
03_032,,,,,0.22954121577708728,0.26530370064212244,,,,,0.3342231495381434
03_033,,,,,0.2303626428026961,0.23689945765196835,,,,,0.3013213679868865
03_034,,,,,0.2333502517613085,0.24050309523434057,,,,,0.30305318985680024
03_035,,,,,0.23215026413795015,0.22127184408907302,,,,,0.28076881783753627
03_036,,,,,0.22583804844182376,0.1963597533914618,,,,,0.24720216695697492
03_037,,,,,0.2305704104524806,0.2212730676142712,,,,,0.2790074985232329
03_038,,,,,0.22062198837196956,0.24483610738551925,,,,,0.3129319992365861
03_039,,,,,0.22653122541310025,0.21430348523766557,,,,,0.2701854007634058
03_040,,,,,0.22051353756545883,0.2003613675752059,,,,,0.2449080016026959
03_041,,,,,0.21421589008887074,0.1982602081393742,,,,,0.2349109282323139
03_042,,,,,0.19956503146424898,0.21244334569636247,,,,,0.23172756674744538
03_043,,,,,0.20645564787332116,0.1996786995131646,,,,,0.22764262378806252
03_044,,,,,0.19085674426811094,0.20132490065144631,,,,,0.20227370099054495
03_045,,,,0.29649223041279904,,0.2233517399204886,,,,,0.20574541259733842
03_046,,,,,,0.210631199661291,,,,,0.1846169513589288
03_047,-0.3348341352661167,,,,,0.19874821982162086,,,,,
03_048,-0.41829059861828083,,,,,,,,,,
03_049,-0.3549803290382242,,,,,,,,,,
03_050,,,,,,,,,,,0.15127628753684433
03_051,,,,,0.19133389179405352,,,,,,0.1747548543146367
03_052,,,,,0.18582789115943912,,,,,,0.16969740101634992
03_053,,,,,,0.19662978599695397,,,,,
03_054,,,,,,0.19493954857566764,,,,,0.17876067458132658
03_055,,,,,0.19721026709757453,0.18764546765067358,,,,,0.19773423650826413
03_056,,,,,0.20466671326191577,0.18942514352336556,,,,,0.21042389483750137
03_057,,,,,0.20112247301931935,0.17396994037878483,,,,,0.19242765949040985
03_058,,,,,0.21169940337953025,0.18290287918167678,,,,,0.21507574066331592
03_059,,,,,0.21352371375762685,0.18105042658344872,,,,,0.21644921287303928
03_060,,,,,0.20696272390187367,0.17237448462059088,,,,,0.20300807440937482
03_061,,,,,0.21383495274021908,0.17942502560864984,,,,,0.21607010979623245
03_062,,,,,0.20708268190361556,0.17199943953943173,,,,,0.20592552769113498
03_063,,,,,0.21558789937900077,0.17953355368632368,,,,,0.22042901719894506
03_064,,,,,0.22222493745412797,0.18657519083349966,,,,,0.23144576548461523
03_065,,,,,0.21780580456992382,0.18202488316575152,,,,,0.22321319073459864
03_066,,,,,0.20872792434737986,0.17701182581557812,,,,,0.20850766946139562
03_067,,,,,0.20919283810980693,0.17629720838892388,,,,,0.20886575731174783
03_068,,,,,0.2001396830115465,0.17097379035872584,,,,,0.19680904144582262
03_069,,,,,0.19097587159409962,0.1714783646128806,,,,,0.1845408947605259
03_070,,,,,,0.1712712475124055,,,,,0.16450609342195974
03_071,,,,,,0.17163119023339907,,,,,0.15557950177937485
03_072,,,,,,0.17358389747464625,,,,,0.14597787175435528
03_073,,,,,,0.16993388617385094,,,,,0.13144708737284358
03_074,,,,,,0.17540397357137924,,,,,0.12358064354550413
03_075,,,,,,0.1809974167522321,,,,,0.12826497267738257
03_076,,,,,,0.18715964286214903,,,,,
03_077,,,,,,0.18773069653713118,,-0.14568800840873047,,,
03_078,,,,,,0.18182325618620634,,,,,
03_079,,,,,,0.18960783152719496,,-0.15596644145193034,,,
03_080,,,,,,0.19420483218880694,,-0.16301230655087642,,,
03_081,,,,,,0.18868539137039803,,-0.16228897573123435,,,
03_082,,,,,,0.18309377872293917,,-0.1593987861790514,,,
03_083,,,,,,0.17764233099899485,,-0.14479243770147507,,,
03_084,,,,,,0.17616863143580772,,-0.14781193180620744,,,
03_085,,,,,,0.17933214906487743,,-0.15905402166086863,,,
03_086,,,,,,0.17445600397501593,,-0.15812313902770528,,,
03_087,,,,,,0.17088388307209385,,-0.15599244225784786,,,
03_088,,,,,,0.16754731336823175,,-0.15036477223416128,,,
03_089,,,,,,0.16419823774475434,,,,,
03_090,,,,,,,,,,,0.1433977155996018
03_091,,,,,,,,,,,0.1362971548600848
03_092,,,,,,,,,,,
03_093,,,,,,0.170911229184518,,-0.14590419961951462,,,
03_094,,,,,,0.16688969691989675,,,,,
03_095,,,,,,0.1662025181325652,,,,,0.13967360865778505
03_096,,,,,,,,,,,0.151570743231638
03_097,,,,,,0.1666575168089189,,,,,0.1580111535311349
03_098,,,,,0.18538024596254532,0.16672715087235962,,,,,0.17748990258982753
03_099,,,,,0.1956148577324583,0.16562029991975577,,,,,0.18927363908443695
03_100,,,,,,0.16219744245705633,,,,,0.1675394468895952
03_101,,,,,0.18792999352113,,,,,,0.1773918963951852
