Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801906036;Total;1.442
Ambos Sexos;0801906037;Total;1.125
Ambos Sexos;0801906038;Total;1.477
Ambos Sexos;0801906039;Total;1.602
Ambos Sexos;0801906040;Total;1.625
Ambos Sexos;0801906041;Total;1.714
Ambos Sexos;0801906042;Total;1.761
Ambos Sexos;0801906043;Total;1.304
Ambos Sexos;0801906044;Total;1.480
Ambos Sexos;0801906045;Total;1.313
Ambos Sexos;0801906046;Total;1.141
Ambos Sexos;0801906047;Total;1.675
Ambos Sexos;0801906048;Total;1.383
Ambos Sexos;0801906049;Total;1.124
Ambos Sexos;0801906050;Total;1.252
Ambos Sexos;0801906051;Total;1.322
Ambos Sexos;0801906052;Total;1.565
Ambos Sexos;0801906053;Total;1.468
Ambos Sexos;0801906054;Total;1.624
Ambos Sexos;0801906055;Total;1.415
Ambos Sexos;0801906056;Total;1.575
Ambos Sexos;0801906057;Total;1.499
Ambos Sexos;0801906058;Total;1.594
Ambos Sexos;0801906059;Total;1.490
Ambos Sexos;0801906060;Total;1.781
Ambos Sexos;0801906061;Total;1.341
Ambos Sexos;0801906062;Total;1.310
Ambos Sexos;0801906063;Total;1.542
Ambos Sexos;0801906064;Total;1.927
Ambos Sexos;0801906065;Total;1.208
Ambos Sexos;0801906066;Total;989
Ambos Sexos;0801906067;Total;1.766
Ambos Sexos;0801906068;Total;1.543
Ambos Sexos;0801906069;Total;1.101
Ambos Sexos;0801906070;Total;1.855
Ambos Sexos;0801906071;Total;1.065
Ambos Sexos;0801906072;Total;1.610
Ambos Sexos;0801906073;Total;1.379
Ambos Sexos;0801906074;Total;1.123
Ambos Sexos;0801906075;Total;1.089
Ambos Sexos;0801906076;Total;1.303
Ambos Sexos;0801906077;Total;1.179
Ambos Sexos;0801906078;Total;1.324
Ambos Sexos;0801906079;Total;1.089
Ambos Sexos;0801906080;Total;1.145
Ambos Sexos;0801906081;Total;1.289
Ambos Sexos;0801906082;Total;1.808
Ambos Sexos;0801906083;Total;1.706
Ambos Sexos;0801906084;Total;1.507
Ambos Sexos;0801906085;Total;1.274
Ambos Sexos;0801906086;Total;990
Ambos Sexos;0801906087;Total;1.856
Ambos Sexos;0801906088;Total;1.204
Ambos Sexos;0801907001;Total;1.568
Ambos Sexos;0801907002;Total;1.143
Ambos Sexos;0801907003;Total;1.321
Ambos Sexos;0801907004;Total;1.483
Ambos Sexos;0801907005;Total;1.502
Ambos Sexos;0801907006;Total;946
Ambos Sexos;0801907007;Total;1.402
Ambos Sexos;0801907008;Total;1.437
Ambos Sexos;0801907009;Total;1.188
Ambos Sexos;0801907010;Total;1.316
Ambos Sexos;0801907011;Total;1.132
Ambos Sexos;0801907012;Total;1.600
Ambos Sexos;0801907013;Total;1.222
Ambos Sexos;0801907014;Total;920
Ambos Sexos;0801907015;Total;1.376
Ambos Sexos;0801907016;Total;1.332
Ambos Sexos;0801907017;Total;1.643
Ambos Sexos;0801907018;Total;1.672
Ambos Sexos;0801907019;Total;1.469
Ambos Sexos;0801907020;Total;1.566
Ambos Sexos;0801907021;Total;1.012
Ambos Sexos;0801907022;Total;1.157
Ambos Sexos;0801907023;Total;1.293
Ambos Sexos;0801907024;Total;1.469
Ambos Sexos;0801907025;Total;1.424
Ambos Sexos;0801907026;Total;1.073
Ambos Sexos;0801907027;Total;1.957
Ambos Sexos;0801907028;Total;1.496
Ambos Sexos;0801907029;Total;1.297
Ambos Sexos;0801907030;Total;1.382
Ambos Sexos;0801907031;Total;1.552
Ambos Sexos;0801907032;Total;1.392
Ambos Sexos;0801907033;Total;1.389
Ambos Sexos;0801907034;Total;1.715
Ambos Sexos;0801907035;Total;1.756
Ambos Sexos;0801907036;Total;1.386
Ambos Sexos;0801907037;Total;1.473
Ambos Sexos;0801907038;Total;1.321
Ambos Sexos;0801907039;Total;1.592
Ambos Sexos;0801907040;Total;1.489
Ambos Sexos;0801907041;Total;1.349
Ambos Sexos;0801907042;Total;1.562
Ambos Sexos;0801907043;Total;1.379
Ambos Sexos;0801907044;Total;1.295
Ambos Sexos;0801907045;Total;1.483
Ambos Sexos;0801907046;Total;1.420
Ambos Sexos;0801907047;Total;1.473
Ambos Sexos;0801907048;Total;1.238
Ambos Sexos;0801907049;Total;1.205
Ambos Sexos;0801907050;Total;1.150
Ambos Sexos;0801907051;Total;1.716
Ambos Sexos;0801907052;Total;1.214
Ambos Sexos;0801907053;Total;1.436
Ambos Sexos;0801907054;Total;1.560
Ambos Sexos;0801907055;Total;1.203
Ambos Sexos;0801907056;Total;1.168
Ambos Sexos;0801907057;Total;1.445
Ambos Sexos;0801907058;Total;1.357
Ambos Sexos;0801907059;Total;1.262
Ambos Sexos;0801907060;Total;1.806
Ambos Sexos;0801907061;Total;1.200
Ambos Sexos;0801907062;Total;1.283
Ambos Sexos;0801907063;Total;1.447
Ambos Sexos;0801907064;Total;1.651
Ambos Sexos;0801907065;Total;1.666
Ambos Sexos;0801907066;Total;1.747
Ambos Sexos;0801907067;Total;1.479
Ambos Sexos;0801907068;Total;1.269
Ambos Sexos;0801907069;Total;1.430
Ambos Sexos;0801907070;Total;1.418
Ambos Sexos;0801907071;Total;1.365
Ambos Sexos;0801907072;Total;1.342
Ambos Sexos;0801907073;Total;1.118
Ambos Sexos;0801907074;Total;1.676
Ambos Sexos;0801907075;Total;1.238
Ambos Sexos;0801907076;Total;1.328
Ambos Sexos;0801907077;Total;1.352
Ambos Sexos;0801907078;Total;1.364
Ambos Sexos;0801907079;Total;1.352
Ambos Sexos;0801907080;Total;1.758
Ambos Sexos;0801907081;Total;1.945
Ambos Sexos;0801907082;Total;1.242
Ambos Sexos;0801907083;Total;1.277
Ambos Sexos;0801907084;Total;1.276
Ambos Sexos;0801907085;Total;1.271
Ambos Sexos;0801907086;Total;1.462
Ambos Sexos;0801907087;Total;1.575
Ambos Sexos;0801907088;Total;1.571
Ambos Sexos;0801907089;Total;1.346
Ambos Sexos;0801907090;Total;1.416
Ambos Sexos;0801907091;Total;1.151
Ambos Sexos;0801907092;Total;1.357
Ambos Sexos;0801907093;Total;1.584
Ambos Sexos;0801907094;Total;1.263
Ambos Sexos;0801907095;Total;1.515
Ambos Sexos;0801907096;Total;1.407
Ambos Sexos;0801907097;Total;917
Ambos Sexos;0801907098;Total;2.138
Ambos Sexos;0801907099;Total;1.085
Ambos Sexos;0801907100;Total;1.184
Ambos Sexos;0801907101;Total;1.377
Ambos Sexos;0801907102;Total;610
Ambos Sexos;0801907103;Total;1.538
Ambos Sexos;0801907104;Total;1.602
Ambos Sexos;0801907105;Total;1.084
Ambos Sexos;0801907106;Total;1.195
Ambos Sexos;0801907107;Total;1.247
Ambos Sexos;0801907108;Total;1.217
Ambos Sexos;0801907109;Total;1.632
Ambos Sexos;0801907110;Total;1.053
Ambos Sexos;0801907111;Total;886
Ambos Sexos;0801907112;Total;1.245
Ambos Sexos;0801907113;Total;1.195
Ambos Sexos;0801907114;Total;1.158
Ambos Sexos;0801907115;Total;1.103
Ambos Sexos;0801907116;Total;1.463
Ambos Sexos;0801907117;Total;1.566
Ambos Sexos;0801907118;Total;1.223
Ambos Sexos;0801907119;Total;1.195
Ambos Sexos;0801907120;Total;1.215
Ambos Sexos;0801907121;Total;1.175
Ambos Sexos;0801907122;Total;1.333
Ambos Sexos;0801907123;Total;1.390
Ambos Sexos;0801908001;Total;1.281
Ambos Sexos;0801908002;Total;1.233
Ambos Sexos;0801908003;Total;1.233
Ambos Sexos;0801908004;Total;1.435
Ambos Sexos;0801908005;Total;1.150
Ambos Sexos;0801908006;Total;1.498
Ambos Sexos;0801908007;Total;1.195
Ambos Sexos;0801908008;Total;1.589
Ambos Sexos;0801908009;Total;1.672
Ambos Sexos;0801908010;Total;1.113
Ambos Sexos;0801908011;Total;1.195
Ambos Sexos;0801908012;Total;1.337
Ambos Sexos;0801908013;Total;1.185
Ambos Sexos;0801908014;Total;1.213
Ambos Sexos;0801908015;Total;1.409
Ambos Sexos;0801908016;Total;1.146
Ambos Sexos;0801908017;Total;1.368
Ambos Sexos;0801908018;Total;1.544
Ambos Sexos;0801908019;Total;1.795
Ambos Sexos;0801908020;Total;1.300
Ambos Sexos;0801908021;Total;1.458
Ambos Sexos;0801908022;Total;1.224
Ambos Sexos;0801908023;Total;1.347
Ambos Sexos;0801908024;Total;1.394
Ambos Sexos;0801908025;Total;1.190
Ambos Sexos;0801908026;Total;1.418
Ambos Sexos;0801908027;Total;1.285
Ambos Sexos;0801908028;Total;1.093
Ambos Sexos;0801908029;Total;1.521
Ambos Sexos;0801908030;Total;1.510
Ambos Sexos;0801908031;Total;1.312
Ambos Sexos;0801908032;Total;1.295
Ambos Sexos;0801908033;Total;1.457
Ambos Sexos;0801908034;Total;1.201
Ambos Sexos;0801908035;Total;2.000
Ambos Sexos;0801908036;Total;1.489
Ambos Sexos;0801908037;Total;1.506
Ambos Sexos;0801908038;Total;1.466
Ambos Sexos;0801908039;Total;1.522
Ambos Sexos;0801908040;Total;1.641
Ambos Sexos;0801908041;Total;2.349
Ambos Sexos;0801908042;Total;1.275
Ambos Sexos;0801908043;Total;1.154
Ambos Sexos;0801908044;Total;1.383
Ambos Sexos;0801908045;Total;1.729
Ambos Sexos;0801908046;Total;1.374
Ambos Sexos;0801908047;Total;1.574
Ambos Sexos;0801908048;Total;1.013
Ambos Sexos;0801908049;Total;1.258
Ambos Sexos;0801908050;Total;1.412
Ambos Sexos;0801908051;Total;1.353
Ambos Sexos;0801908052;Total;903
Ambos Sexos;0801908053;Total;1.174
Ambos Sexos;0801908054;Total;1.692
Ambos Sexos;0801908055;Total;1.867
Ambos Sexos;0801908056;Total;1.479
Ambos Sexos;0801908057;Total;1.328
Ambos Sexos;0801908058;Total;1.598
Ambos Sexos;0801908059;Total;962
Ambos Sexos;0801908060;Total;1.174
Ambos Sexos;0801908061;Total;1.668
Ambos Sexos;0801908062;Total;1.169
Ambos Sexos;0801908063;Total;1.100
Ambos Sexos;0801908064;Total;1.745
Ambos Sexos;0801908065;Total;1.681
Ambos Sexos;0801908066;Total;1.538
Ambos Sexos;0801908067;Total;1.695
Ambos Sexos;0801908068;Total;1.795
Ambos Sexos;0801908069;Total;1.487
Ambos Sexos;0801908070;Total;1.410
Ambos Sexos;0801908071;Total;1.641
Ambos Sexos;0801908072;Total;1.211
Ambos Sexos;0801908073;Total;1.728
Ambos Sexos;0801908074;Total;1.404
Ambos Sexos;0801908075;Total;1.861
Ambos Sexos;0801908076;Total;1.547
Ambos Sexos;0801908077;Total;1.390
Ambos Sexos;0801908078;Total;1.514
Ambos Sexos;0801908079;Total;1.411
Ambos Sexos;0801908080;Total;1.470
Ambos Sexos;0801908081;Total;1.604
Ambos Sexos;0801908082;Total;1.556
Ambos Sexos;0801908083;Total;1.295
Ambos Sexos;0801908084;Total;1.169
Ambos Sexos;0801908085;Total;1.427
Ambos Sexos;0801908086;Total;1.687
Ambos Sexos;0801908087;Total;1.227
Ambos Sexos;0801908088;Total;1.274
Ambos Sexos;0801908089;Total;1.257
Ambos Sexos;0801908090;Total;1.221
Ambos Sexos;0801908091;Total;1.180
Ambos Sexos;0801908092;Total;1.004
Ambos Sexos;0801908093;Total;1.240
Ambos Sexos;0801908094;Total;1.483
Ambos Sexos;0801908095;Total;1.094
Ambos Sexos;0801908096;Total;1.455
Ambos Sexos;0801908097;Total;1.338
Ambos Sexos;0801908098;Total;1.221
Ambos Sexos;0801908099;Total;1.331
Ambos Sexos;0801908100;Total;1.251
Ambos Sexos;0801908101;Total;1.708
Ambos Sexos;0801908102;Total;1.527
Ambos Sexos;0801908103;Total;1.533
Ambos Sexos;0801908104;Total;1.229
Ambos Sexos;0801908105;Total;1.524
Ambos Sexos;0801908106;Total;1.190
Ambos Sexos;0801908107;Total;1.785
Ambos Sexos;0801908108;Total;1.869
Ambos Sexos;0801908109;Total;987
Ambos Sexos;0801908110;Total;1.880
Ambos Sexos;0801908111;Total;1.589
Ambos Sexos;0801908112;Total;1.669
Ambos Sexos;0801908113;Total;1.725
Ambos Sexos;0801908114;Total;1.839
Ambos Sexos;0801908115;Total;1.640
Ambos Sexos;0801908116;Total;1.372
Ambos Sexos;0801908215;Total;1.463
Ambos Sexos;0801909001;Total;2.563
Ambos Sexos;0801909002;Total;2.103
Ambos Sexos;0801909003;Total;2.092
Ambos Sexos;0801909004;Total;1.641
Ambos Sexos;0801909005;Total;1.584
Ambos Sexos;0801909006;Total;1.238
Ambos Sexos;0801909007;Total;1.301
Ambos Sexos;0801909008;Total;1.925
Ambos Sexos;0801909009;Total;1.434
Ambos Sexos;0801909010;Total;1.782
Ambos Sexos;0801909011;Total;1.735
Ambos Sexos;0801909013;Total;1.889
Ambos Sexos;0801909014;Total;2.002
Ambos Sexos;0801909015;Total;1.793
Ambos Sexos;0801909016;Total;1.371
Ambos Sexos;0801909017;Total;1.502
Ambos Sexos;0801909018;Total;1.477
Ambos Sexos;0801909019;Total;2.442
Ambos Sexos;0801909020;Total;1.125
Ambos Sexos;0801909021;Total;1.365
Ambos Sexos;0801909022;Total;1.193
Ambos Sexos;0801909023;Total;1.215
Ambos Sexos;0801909024;Total;1.138
Ambos Sexos;0801909025;Total;1.163
Ambos Sexos;0801909026;Total;1.533
Ambos Sexos;0801909027;Total;1.337
Ambos Sexos;0801909028;Total;1.635
Ambos Sexos;0801909029;Total;1.144
Ambos Sexos;0801909030;Total;1.503
Ambos Sexos;0801909031;Total;1.172
Ambos Sexos;0801909032;Total;2.141
Ambos Sexos;0801909033;Total;3.213
Ambos Sexos;0801909034;Total;1.401
Ambos Sexos;0801909035;Total;1.541
Ambos Sexos;0801909036;Total;1.418
Ambos Sexos;0801909037;Total;1.435
Ambos Sexos;0801909038;Total;1.576
Ambos Sexos;0801909039;Total;1.548
Ambos Sexos;0801909040;Total;1.524
Ambos Sexos;0801909041;Total;1.426
Ambos Sexos;0801909042;Total;1.234
Ambos Sexos;0801909043;Total;1.338
Ambos Sexos;0801909044;Total;1.471
Ambos Sexos;0801909045;Total;1.425
Ambos Sexos;0801909046;Total;1.297
Ambos Sexos;0801909047;Total;1.524
Ambos Sexos;0801909048;Total;1.424
Ambos Sexos;0801909049;Total;1.286
Ambos Sexos;0801909050;Total;1.552
Ambos Sexos;0801909051;Total;1.214
Ambos Sexos;0801909052;Total;1.174
Ambos Sexos;0801909053;Total;1.583
Ambos Sexos;0801909054;Total;1.123
Ambos Sexos;0801909055;Total;1.731
Ambos Sexos;0801909056;Total;1.141
Ambos Sexos;0801909057;Total;1.536
Ambos Sexos;0801909058;Total;1.505
Ambos Sexos;0801909059;Total;1.393
Ambos Sexos;0801909060;Total;1.349
Ambos Sexos;0801909061;Total;1.703
Ambos Sexos;0801909062;Total;1.106
Ambos Sexos;0801909063;Total;1.130
Ambos Sexos;0801909064;Total;1.203
Ambos Sexos;0801909065;Total;2.041
Ambos Sexos;0801909066;Total;1.422
Ambos Sexos;0801909067;Total;1.450
Ambos Sexos;0801909068;Total;1.555
Ambos Sexos;0801909069;Total;920
Ambos Sexos;0801909070;Total;1.763
Ambos Sexos;0801909071;Total;1.860
Ambos Sexos;0801909072;Total;1.464
Ambos Sexos;0801909073;Total;1.547
Ambos Sexos;0801909074;Total;1.599
Ambos Sexos;0801909075;Total;1.476
Ambos Sexos;0801909076;Total;1.407
Ambos Sexos;0801909077;Total;1.582
Ambos Sexos;0801909078;Total;1.457
Ambos Sexos;0801909079;Total;1.573
Ambos Sexos;0801909080;Total;1.314
Ambos Sexos;0801909081;Total;1.776
Ambos Sexos;0801909082;Total;1.932
Ambos Sexos;0801909083;Total;1.636
Ambos Sexos;0801909084;Total;1.731
Ambos Sexos;0801909085;Total;1.682
Ambos Sexos;0801909086;Total;1.448
Ambos Sexos;0801909087;Total;1.273
Ambos Sexos;0801909088;Total;1.979
Ambos Sexos;0801909089;Total;1.470
Ambos Sexos;0801909090;Total;1.606
Ambos Sexos;0801909091;Total;1.858
Ambos Sexos;0801909092;Total;1.925
Ambos Sexos;0801909093;Total;1.330
Ambos Sexos;0801909094;Total;2.074
Ambos Sexos;0801909095;Total;2.117
Ambos Sexos;0801909156;Total;1.265
Ambos Sexos;0801910001;Total;1.605
Ambos Sexos;0801910002;Total;1.738
Ambos Sexos;0801910003;Total;1.598
Ambos Sexos;0801910004;Total;1.517
Ambos Sexos;0801910005;Total;1.596
Ambos Sexos;0801910006;Total;1.751
Ambos Sexos;0801910007;Total;1.324
Ambos Sexos;0801910008;Total;1.695
Ambos Sexos;0801910009;Total;1.555
Ambos Sexos;0801910010;Total;1.682
Ambos Sexos;0801910011;Total;1.201
Ambos Sexos;0801910012;Total;1.879
Ambos Sexos;0801910013;Total;1.365
Ambos Sexos;0801910014;Total;1.416
Ambos Sexos;0801910015;Total;1.839
Ambos Sexos;0801910016;Total;1.286
Ambos Sexos;0801910017;Total;1.725
Ambos Sexos;0801910018;Total;1.394
Ambos Sexos;0801910019;Total;1.638
Ambos Sexos;0801910020;Total;1.471
Ambos Sexos;0801910021;Total;1.315
Ambos Sexos;0801910022;Total;1.288
Ambos Sexos;0801910023;Total;1.455
Ambos Sexos;0801910024;Total;1.472
Ambos Sexos;0801910025;Total;1.363
Ambos Sexos;0801910026;Total;1.505
Ambos Sexos;0801910027;Total;1.552
Ambos Sexos;0801910028;Total;1.797
Ambos Sexos;0801910029;Total;1.502
Ambos Sexos;0801910030;Total;1.753
Ambos Sexos;0801910031;Total;1.556
Ambos Sexos;0801910032;Total;1.450
Ambos Sexos;0801910033;Total;889
Ambos Sexos;0801910034;Total;1.743
Ambos Sexos;0801910035;Total;2.010
Ambos Sexos;0801910036;Total;1.468
Ambos Sexos;0801910037;Total;1.059
Ambos Sexos;0801910038;Total;1.616
Ambos Sexos;0801910039;Total;1.779
Ambos Sexos;0801910040;Total;1.912
Ambos Sexos;0801910041;Total;1.570
Ambos Sexos;0801910042;Total;2.548
Ambos Sexos;0801910043;Total;2.125
Ambos Sexos;0801910044;Total;1.527
Ambos Sexos;0801910045;Total;1.277
Ambos Sexos;0801910046;Total;1.242
Ambos Sexos;0801910047;Total;1.902
Ambos Sexos;0801910048;Total;1.626
Ambos Sexos;0801910049;Total;1.273
Ambos Sexos;0801910050;Total;1.614
Ambos Sexos;0801910051;Total;1.577
Ambos Sexos;0801910052;Total;2.366
Ambos Sexos;0801910053;Total;1.786
Ambos Sexos;0801910054;Total;987
Ambos Sexos;0801910055;Total;2.651
Ambos Sexos;0801910056;Total;1.904
Ambos Sexos;0801910057;Total;1.372
Ambos Sexos;0801910058;Total;1.156
Ambos Sexos;0801910059;Total;1.687
Ambos Sexos;0801910060;Total;1.581
Ambos Sexos;0801910061;Total;1.822
Ambos Sexos;0801910062;Total;1.512
Ambos Sexos;0801910063;Total;1.223
Ambos Sexos;0801910064;Total;1.725
Ambos Sexos;0801910065;Total;1.605
Ambos Sexos;0801910066;Total;2.163
Ambos Sexos;0801910067;Total;1.970
Ambos Sexos;0801910068;Total;1.621
Ambos Sexos;0801910069;Total;2.270
Ambos Sexos;0801910070;Total;1.674
Ambos Sexos;0801910071;Total;1.824
Ambos Sexos;0801910072;Total;2.038
Ambos Sexos;0801910073;Total;1.510
Ambos Sexos;0801910074;Total;1.683
Ambos Sexos;0801910075;Total;1.503
Ambos Sexos;0801910076;Total;2.137
Ambos Sexos;0801910077;Total;1.903
Ambos Sexos;0801910078;Total;2.374
Ambos Sexos;0801910079;Total;1.773
Ambos Sexos;0801910080;Total;2.471
Ambos Sexos;0801910081;Total;1.950
Ambos Sexos;0801910082;Total;1.883
Ambos Sexos;0801910083;Total;2.172
Ambos Sexos;0801910084;Total;1.568
Ambos Sexos;0801910085;Total;2.066
Ambos Sexos;0801910086;Total;1.966
Ambos Sexos;0801910087;Total;1.728
Ambos Sexos;0801910088;Total;1.631
Ambos Sexos;0801910089;Total;2.102
Ambos Sexos;0801910090;Total;1.415
Ambos Sexos;0801910091;Total;1.961
Ambos Sexos;0801910092;Total;1.491
Ambos Sexos;0801910093;Total;1.076
Ambos Sexos;0801910094;Total;2.785
Ambos Sexos;0801910095;Total;1.306
Ambos Sexos;0801910096;Total;1.602
Ambos Sexos;0801910097;Total;1.567
Ambos Sexos;0801910098;Total;1.860
Ambos Sexos;0801910099;Total;1.110
Ambos Sexos;0801910100;Total;1.601
Ambos Sexos;0801910101;Total;1.520
Ambos Sexos;0801910102;Total;2.553
Ambos Sexos;0801910103;Total;2.181
Ambos Sexos;0801910104;Total;1.648
Ambos Sexos;0801910105;Total;2.253
Ambos Sexos;0801910106;Total;1.007
Ambos Sexos;0801910107;Total;1.602
Ambos Sexos;0801910108;Total;1.315
Ambos Sexos;0801910109;Total;1.543
Ambos Sexos;0801910110;Total;1.630
Ambos Sexos;0801910111;Total;1.274
Ambos Sexos;0801910112;Total;1.552
Ambos Sexos;0801910113;Total;1.192
Ambos Sexos;0801910114;Total;1.406
Ambos Sexos;0801910115;Total;1.531
Ambos Sexos;0801910116;Total;1.853
Ambos Sexos;0801910117;Total;1.282
Ambos Sexos;0801910118;Total;1.016
Ambos Sexos;0801910119;Total;1.126
Ambos Sexos;0801910120;Total;1.467
Ambos Sexos;0801910121;Total;1.575
Ambos Sexos;0801910122;Total;1.522
Ambos Sexos;0801910123;Total;1.400
Ambos Sexos;0801910124;Total;1.099
Ambos Sexos;0801910125;Total;1.117
Ambos Sexos;0801910126;Total;1.067
Ambos Sexos;0801910127;Total;1.017
Ambos Sexos;0801910128;Total;1.576
Ambos Sexos;0801910129;Total;1.213
Ambos Sexos;0801910130;Total;1.177
Ambos Sexos;0801910131;Total;1.196
Ambos Sexos;0801910132;Total;1.266
Ambos Sexos;0801910133;Total;1.700
Ambos Sexos;0801910134;Total;1.522
Ambos Sexos;0801910135;Total;1.224
Ambos Sexos;0801910136;Total;1.368
Ambos Sexos;0801910137;Total;1.567
Ambos Sexos;0801910138;Total;1.540
Ambos Sexos;0801910139;Total;1.617
Ambos Sexos;0801910140;Total;1.571
Ambos Sexos;0801910141;Total;1.099
Ambos Sexos;0801910142;Total;1.612
Ambos Sexos;0801910143;Total;1.743
Ambos Sexos;0801910234;Total;1.878
Ambos Sexos;0801910235;Total;1.339
Ambos Sexos;0801910236;Total;1.632
Ambos Sexos;0801910237;Total;754
